
25.22,6.47,252.97

28.16,6.47,254.99

31.10,6.47,251.96

30.12,3.49,250.95

29.14,5.48,251.96

24.24,3.49,254.99

24.24,7.46,252.97

30.12,3.49,251.96

31.10,1.51,248.93

30.12,5.48,253.98

29.14,5.48,252.97

26.20,6.47,252.97

23.26,6.47,257.01

30.12,6.47,250.95

31.10,0.52,249.94

27.18,8.45,253.98

28.16,3.49,253.98

27.18,3.49,252.97

22.28,6.47,251.96

26.20,3.49,251.96

30.12,7.46,256.00

32.08,3.49,249.94

30.12,6.47,251.96

26.20,3.49,249.94

23.26,4.48,254.99

27.18,1.51,249.94

30.12,8.45,251.96

28.16,4.48,253.98

31.10,4.48,248.93

22.28,6.47,257.01

31.10,5.48,250.95

29.14,3.49,253.98

31.10,2.50,248.93

25.22,6.47,258.02

29.14,2.50,251.96

28.16,1.51,250.95

26.20,6.47,258.02

27.18,2.50,248.93

27.18,1.51,249.94

29.14,10.43,256.00

30.12,-0.47,249.94

28.16,9.44,249.94

29.14,5.48,251.96

27.18,4.48,254.99

29.14,4.48,252.97

30.12,6.47,251.96

29.14,0.52,253.98

26.20,5.48,253.98

28.16,5.48,254.99

30.12,4.48,253.98

29.14,5.48,252.97

29.14,4.48,248.93

26.20,1.51,249.94

28.16,2.50,252.97

26.20,8.45,257.01

36.00,4.48,247.92

32.08,9.44,252.97

29.14,3.49,251.96

26.20,-1.46,247.92

18.36,-1.46,259.03

35.02,15.38,248.93

25.22,5.48,257.01

34.04,2.50,246.91

25.22,4.48,253.98

27.18,1.51,251.96

29.14,4.48,250.95

27.18,7.46,257.01

31.10,4.48,248.93

31.10,4.48,252.97

29.14,4.48,252.97

29.14,3.49,254.99

26.20,5.48,253.98

28.16,2.50,251.96

29.14,6.47,250.95

28.16,3.49,253.98

30.12,7.46,251.96

25.22,0.52,249.94

32.08,9.44,252.97

30.12,7.46,257.01

31.10,1.51,246.91

25.22,5.48,253.98

24.24,3.49,254.99

27.18,3.49,249.94

30.12,8.45,256.00

33.06,7.46,252.97

33.06,5.48,249.94

27.18,3.49,253.98

24.24,5.48,254.99

26.20,5.48,251.96

29.14,6.47,253.98

32.08,7.46,257.01

33.06,7.46,253.98

29.14,3.49,250.95

24.24,1.51,249.94

24.24,4.48,250.95

25.22,5.48,253.98

31.10,8.45,254.99

34.04,5.48,248.93

29.14,3.49,253.98

27.18,5.48,249.94

21.30,0.52,250.95

27.18,9.44,257.01

30.12,6.47,254.99

34.04,4.48,250.95

31.10,5.48,251.96

27.18,4.48,253.98

